x,y,z
0.3,0,0.3
0.297586443849,0.0379777360721,0.307
0.290384610419,0.0753443961543,0.314
0.278510379905,0.111498736698,0.321
0.262154813121,0.14585902083,0.328
0.241581077259,0.177872378716,0.335
0.217120211432,0.207023703445,0.342
0.189165800125,0.232843939288,0.349
0.158167640283,0.254917628985,0.356
0.124624503901,0.272889598606,0.363
0.0890761125985,0.286470672433,0.37
0.0520944533001,0.295442325904,0.377
0.0142745747471,0.299660201755,0.384
-0.023774987057,0.299056432786,0.391
-0.0614420004196,0.293640733864,0.398
-0.0981203889952,0.283500245614,0.405
-0.133219983782,0.268798132287,0.412
-0.16617601916,0.24977095639,0.419
-0.196458220184,0.226724872306,0.426
-0.223579334903,0.200030700155,0.433
-0.247102974429,0.170117959159,0.44
-0.266650634596,0.137467956518,0.447
-0.281907786236,0.102606042998,0.454
-0.292628936066,0.066093159836,0.461
-0.298641576772,0.0285168129913,0.468
-0.299848962715,-0.00951838004942,0.475
-0.296231666603,-0.047400418792,0.482
-0.287847892084,-0.0845197670524,0.489
-0.27483253723,-0.120279160622,0.496
-0.25739502397,-0.154103217472,0.503
-0.235815928423,-0.185447695866,0.51
-0.210442466312,-0.213808251414,0.517
-0.181682906141,-0.238728552159,0.524
-0.15,-0.259807621135,0.531
-0.115903537708,-0.276706288231,0.538
-0.079942144107,-0.289152647568,0.545
-0.042694451482,-0.296946432564,0.552
-0.00475978915044,-0.299962238302,0.559
0.0332514599703,-0.298151539338,0.566
0.0707276806528,-0.291543470497,0.573
0.107065866478,-0.28024435808,0.58
0.141681322432,-0.264436009034,0.587
0.174017072871,-0.244372785615,0.594
0.203552823467,-0.220377512597,0.601
0.229813332936,-0.192836282906,0.608
0.252376059849,-0.162192245237,0.615
0.270877961486,-0.128938473627,0.622
0.285021335322,-0.0936100337095,0.629
0.294578609179,-0.0567753733081,0.636
0.299396002942,-0.019027175897,0.643
0.299396002942,0.019027175897,0.65
0.294578609179,0.0567753733081,0.657
0.285021335322,0.0936100337095,0.664
0.270877961486,0.128938473627,0.671
0.252376059849,0.162192245237,0.678
0.229813332936,0.192836282906,0.685
0.203552823467,0.220377512597,0.692
0.174017072871,0.244372785615,0.699
0.141681322432,0.264436009034,0.706
0.107065866478,0.28024435808,0.713
0.0707276806528,0.291543470497,0.72
0.0332514599703,0.298151539338,0.727
-0.00475978915044,0.299962238302,0.734
-0.042694451482,0.296946432564,0.741
-0.079942144107,0.289152647568,0.748
-0.115903537708,0.276706288231,0.755
-0.15,0.259807621135,0.762
-0.181682906141,0.238728552159,0.769
-0.210442466312,0.213808251414,0.776
-0.235815928423,0.185447695866,0.783
-0.25739502397,0.154103217472,0.790000000000001
-0.27483253723,0.120279160622,0.797
-0.287847892084,0.0845197670524,0.804
-0.296231666603,0.047400418792,0.811000000000001
-0.299848962715,0.00951838004942,0.818000000000001
-0.298641576772,-0.0285168129913,0.825000000000001
-0.292628936066,-0.066093159836,0.832
-0.281907786236,-0.102606042998,0.839
-0.266650634596,-0.137467956518,0.846
-0.247102974429,-0.170117959159,0.853000000000001
-0.223579334903,-0.200030700155,0.860000000000001
-0.196458220184,-0.226724872306,0.867000000000001
-0.16617601916,-0.24977095639,0.874000000000001
-0.133219983782,-0.268798132287,0.881000000000001
-0.0981203889952,-0.283500245614,0.888
-0.0614420004196,-0.293640733864,0.895
-0.023774987057,-0.299056432786,0.902000000000001
0.0142745747471,-0.299660201755,0.909000000000001
0.0520944533001,-0.295442325904,0.916000000000001
0.0890761125985,-0.286470672433,0.923000000000001
0.124624503901,-0.272889598606,0.930000000000001
0.158167640283,-0.254917628985,0.937000000000001
0.189165800125,-0.232843939288,0.944000000000001
0.217120211432,-0.207023703445,0.951000000000001
0.241581077259,-0.177872378716,0.958000000000001
0.262154813121,-0.14585902083,0.965000000000001
0.278510379905,-0.111498736698,0.972000000000001
0.290384610419,-0.0753443961543,0.979000000000001
0.297586443849,-0.0379777360721,0.986000000000001
0.3,-1.46957615898E-16,0.993000000000001
